condition,model,stim,y
C,1.2,0.512,2.040
C,1.2,0.507,1.020
C,1.2,0.484,1.530
C,1.2,0.563,1.530
C,1.2,0.507,1.530
C,1.2,0.535,1.020
C,1.2,0.475,2.040
C,1.2,0.480,1.530
C,1.2,0.494,2.040
C,1.2,0.535,2.040
C,1.2,1.144,2.550
C,1.2,1.015,3.060
C,1.2,0.950,2.550
C,1.2,1.006,2.550
C,1.2,1.015,2.550
C,1.2,1.010,3.060
C,1.2,1.010,3.570
C,1.2,0.992,3.060
C,1.2,1.015,2.040
C,1.2,1.001,2.550
C,1.2,2.242,3.570
C,1.2,2.306,4.080
C,1.2,2.408,4.590
C,1.2,2.454,3.060
C,1.2,2.389,4.080
C,1.2,2.339,4.080
C,1.2,2.380,3.060
C,1.2,2.325,5.100
C,1.2,2.482,3.570
C,1.2,2.348,3.570
C,1.2,5.106,4.588
C,1.2,4.645,5.608
C,1.2,4.650,5.098
C,1.2,4.802,5.098
C,1.2,4.954,4.588
C,1.2,4.862,5.608
C,1.2,4.797,4.588
C,1.2,5.162,5.098
C,1.2,5.092,4.588
C,1.2,4.922,4.588
C,1.2,6.545,6.118
C,1.2,6.730,6.118
C,1.2,6.513,5.608
C,1.2,6.135,4.588
C,1.2,6.559,4.588
C,1.2,6.536,6.627
C,1.2,6.555,6.627
C,1.2,7.025,5.608
C,1.2,6.614,6.627
C,1.2,6.393,5.608
C,2.4,0.484,1.529
C,2.4,0.504,1.529
C,2.4,0.467,1.529
C,2.4,0.492,1.020
C,2.4,0.487,1.529
C,2.4,0.487,1.529
C,2.4,0.489,1.529
C,2.4,0.497,1.020
C,2.4,0.499,1.020
C,2.4,0.482,1.020
C,2.4,1.021,2.039
C,2.4,1.023,2.039
C,2.4,0.983,2.039
C,2.4,0.959,2.549
C,2.4,1.013,2.039
C,2.4,0.979,2.039
C,2.4,1.050,2.039
C,2.4,1.040,2.039
C,2.4,0.974,2.039
C,2.4,0.986,2.039
C,2.4,2.565,3.570
C,2.4,2.523,3.570
C,2.4,2.493,3.060
C,2.4,2.533,3.570
C,2.4,2.375,3.570
C,2.4,2.533,3.570
C,2.4,2.525,3.570
C,2.4,2.780,3.060
C,2.4,2.456,4.080
C,2.4,2.491,3.060
C,2.4,4.589,4.080
C,2.4,4.794,4.590
C,2.4,4.505,5.100
C,2.4,4.697,4.590
C,2.4,4.633,4.590
C,2.4,4.505,4.590
C,2.4,4.727,4.590
C,2.4,4.641,4.590
C,2.4,4.322,4.590
C,2.4,4.730,3.570
